,Patient Acct #,First Name,MI,Last Name,Date of Birth,Sex,Current Street 1,Current Street 2,Current City,Current State,Current Zip Code,Previous First Name,Previous MI,Previous Last Name,Previous Street 1,Previous Street 2,Previous City,Previous State,Previous Zip Code
0,247028705-7,sutton,J,power,9/20/1945,M,1858 sullivan parkwy,0,fresno,CA,93726,0,0,0,2 erie crossing, 9,mount vernon,NY,10557
1,0,suttin,J,power,9/21/1945,M,1859 sullivan parkwy,2,fresno,CA,93726,0,0,0,2 erie crossing,  9,mount vernon,NY,10557
2,247028705-7,sutton,J,power,9/20/1945,M,1858 sullivan parkwy,0,fresno,CA,93726,0,0,0,0,0,0,0,0
3,0,sutton,0,power,9/20/1954,M,1858 sullivan parkwy,0,fresno,CA,93726,0,0,0,0,0,0,0,0
4,0,sutton,0,power,9/20/1954,M,1858 sullivan pkway, 2,fresno,CA,93726,0,0,0,0,0,0,0,0
5,0,sutton,0,powers,12/15/2000,F,1619 maple lane,0,fresno,CA,93726,sutton,0,lore,0,0,0,0,0
6,0,sutton,0,powers,12/15/2000,F,1619 maple lane,0,fresno,CA,93726,0,0,0,0,0,0,0,0
7,757393348-7,mikel,L,trayton,9/20/2000,M,715 jana point,0,apache junction,AZ,85219,0,0,0,81089 kenwood park,0,chattanooga,TN,37416
8,757393348-7,mikel,L,trayton,9/20/2000,M,715 jana point,0,apache junction,AZ,85219,0,0,0,81089 kenwood park,0,chattanooga,TN,37416
9,757393348-7,michael,0,trayton,9/20/2000,M,715 jana point,0,apache junction,AZ,85219,0,0,0,81089 kenwood park,7,chattanooga,TN,37416
10,0,mike,0,trayton,9/2/2000,M,715 jana point,0,apache junction,AZ,85219,0,0,0,0,0,0,0,0
11,757393348-7,mikel,0,trayton,9/20/2000,M,715 jana point,0,apache junction,AZ,85219,0,0,0,0,0,0,0,0
12,0,mikel,L,trayton,9/20/2000,F,715 jana point,  ,apache junction,AZ,85219,0,0,0,0,0,0,0,0
13,930819916-0,dalia,0,bibb,12/7/1939,F,78 talmadge drive,0,jamaica,NY,11447,0,0,0,389 hollow ridge pass, 24,macon,GA,31205
14,0,dalia,0,bibb,12/7/1939,F,78 talmadge drive,0,jamaica,NY,11447,0,0,0,0,0,0,0,0
15,887103871-1,myrvyn,0,buddock,4/11/1946,M,264 judy pass,0,anaheim,CA,92812,0,0,0,02 sauthoff park, 587,cincinnati,OH,45208
16,0,mervin,T,buddock,4/11/1946,M,264 judy pass,0,anaheim,CA,92812,0,0,0,0,0,0,0,0
17,0,myrvin,0,buddock,4/11/1946,M,264 judy pass,0,anaheim,CA,92812,0,0,0,0,0,0,0,0
18,0,mervyn,0,buddock,4/11/1946,M,264 judy pass,0,anaheim,CA,92812,0,0,0,02-sauthoff park, 587,cincinnati,OH,45208
19,0,mervin,0,buddock,12/15/2000,M,251030 golf bolling,0,anaheim,CA,92812,0,0,0,0,0,0,0,0
20,146899396-8,cammy,0,windless,4/18/1984,F,142 summer ridge place,0,fresno,CA,93709,0,0,0,0,0,0,0,0
21,CAM123,cam,0,windless,4/18/1984,F,142 summer ridge place,0,fresno,CA,93709,cam,0,windless,0,0,0,0,0
22,0,cameron,0,windles,4/18/1984,F,142 summer ridge place,0,fresno,CA,93709,0,0,0,1 merchant hill,3539,brooklyn,NY,11220
23,075148803-8,elenore,0,macdonnell,12/16/1950,F,549 pearson plaza,0,atlanta,GA,31106,0,0,0,170 hanson alley, 5096,el paso,TX,88535
24,075148803-8,elenor,0,mcdonnell,12/6/1950,F,549 pearson plaza,0,atlanta,GA,31106,elenor,J,mcdonnell,0,0,0,0,0
25,075148803-8,elenora,0,macdonel,12/16/1950,F,549 pearson plaza,0,atlanta,GA,31106,0,0,0,170 hanson alley ste 5096,0,el paso,TX,88535
26,111421375-6,janet,0,biasini,9/28/1949,F,9083 pennsylvania parkwy,0,raleigh,NC,27615,0,0,0,7350 calypso alley,263,youngstown,OH,44511
27,0,janet,0,bisini,9/28/1949,F,9083 pennsylvania parkwy,0,raleigh,NC,27615,janet,0,thompsen,7350 calypso alley,263,youngstown,OH,44511
28,303748859-X,darby,0,steinson,6/14/1991,M,1587 shopko parkwy apt 200,0,houston,TX,77035,0,0,0,4 morningstar drive,3,los angeles,CA,90060
29,0,darbie,0,steiinson,6/14/1991,M,1587 shopko parkwy, 200,houston,TX,77035,0,0,0,0,0,0,0,0
30,442427087-4,maynard,0,skirvan,4/24/2007,M,485 hanson street e,0,phoenix,AZ,85010,0,0,0,1432 kings avenue,5833,jacksonville,FL,32209
31,0,maynard,0,skirvanne,4/14/2007,M,485 hanson st.,0,phoenix,AZ,85010,0,0,0,0,0,0,0,0
32,99MaynSK,maynard,0,skiirvane,4/24/2007,M,485 hanson street east,0,phoenix,AZ,85010,0,0,0,0,0,0,0,0
33,MAYN0001,maynard,0,skirvane,4/24/2007,F,485 hanson street,0,phoenix,AZ,85010,john,T,skirvane,1432 kings avenue,5833,jacksonville,FL,32209
34,0,dante,0,willder,4/25/1990,M,0,0,flint,MI,48550,0,0,0,0,0,0,0,0
35,0,dante,0,wild,4/25/1990,M,0,0,flint,MI,48550,0,0,0,0,0,0,0,0
36,942681966-5,rena,0,hawkshaw,5/17/2000,F,637 ryan crossing,0,pinellas park,FL,34665,0,0,0,4519 brentwood road,42,greensboro,NC,27415
37,732247743-X,annetta,0,delamere,9/27/2000,F,8178 talisman center,0,mesa,AZ,85205,annetta,0,lopez,6 russell crossing,5,honolulu,HI,96820
38,732247743-X,anne,0,delamere,9/27/2000,F,8178 talismen center,0,mesa,AZ,85205,a,0,lopes,0,0,0,0,0
39,732247743-X,annette,0,delamere,9/27/2000,F,8178 talisman center e,0,mesa,AZ,85205,0,0,0,0,0,0,0,0
40,732247744-X,annette,0,delmar,9/27/2000,F,9154 city view street,0,mesa,AZ,85205,0,0,0,0,0,0,0,0
41,0,robers,0,gammade,10/12/1945,M,030 golf hill,0,charlotte,NC,28210,0,0,0,04125 northport hill,5,phoenix,AZ,85020
42,0,robert,0,gammade,10/12/1945,M,30 golf hill,0,charlott,NC,28210,0,0,0,0,0,0,0,0
43,0,robers,0,gamade,10/12/1945,M,030 golf hill,0,charlotte,NC,28210,0,0,0,04125 north hill,0,phoenix,AZ,85020
44,897924785-0,robers,0,gammade,10/12/1945,M,030 golf hill,0,charlotte,NC,28210,0,0,0,04125 northport hill,0,phoenix,AZ,85020
45,559877171-3,tobin,0,rutigliano,1/1/1970,M,82305 washington drive,0,phoenix,AZ,85083,0,0,0,1691 dahle point,66911,danbury,CT,6816
46,0,toby,0,rutigliano,1/1/1970,M,82305 washington drive,0,phoenix,AZ,85083,0,0,0,0,0,0,0,0
