First Name,MI,Last Name,Date of Birth,Sex,Current Street 1,Current Street 2,Current City,Current State,Current Zip Code
sutton,J,power,9/20/1945,M,1858 sullivan parkwy,0,fresno,CA,93726
suttin,J,power,9/21/1945,M,1859 sullivan parkwy,2,fresno,CA,93726
sutton,J,power,9/20/1945,M,1858 sullivan parkwy,0,fresno,CA,93726
sutton,0,power,9/20/1954,M,1858 sullivan parkwy,0,fresno,CA,93726
sutton,0,power,9/20/1954,M,1858 sullivan pkway,2,fresno,CA,93726
sutton,0,powers,12/15/2000,F,1619 maple lane,0,fresno,CA,93726
sutton,0,powers,12/15/2000,F,1619 maple lane,0,fresno,CA,93726
mikel,L,trayton,9/20/2000,M,715 jana point,0,apache junction,AZ,85219
mikel,L,trayton,9/20/2000,M,715 jana point,0,apache junction,AZ,85219
michael,0,trayton,9/20/2000,M,715 jana point,0,apache junction,AZ,85219
mike,0,trayton,9/2/2000,M,715 jana point,0,apache junction,AZ,85219
mikel,0,trayton,9/20/2000,M,715 jana point,0,apache junction,AZ,85219
mikel,L,trayton,9/20/2000,F,715 jana point,0,apache junction,AZ,85219
dalia,0,bibb,12/7/1939,F,78 talmadge drive,0,jamaica,NY,11447
dalia,0,bibb,12/7/1939,F,78 talmadge drive,0,jamaica,NY,11447
myrvyn,0,buddock,4/11/1946,M,264 judy pass,0,anaheim,CA,92812
mervin,T,buddock,4/11/1946,M,264 judy pass,0,anaheim,CA,92812
myrvin,0,buddock,4/11/1946,M,264 judy pass,0,anaheim,CA,92812
mervyn,0,buddock,4/11/1946,M,264 judy pass,0,anaheim,CA,92812
mervin,0,buddock,12/15/2000,M,251030 golf bolling,0,anaheim,CA,92812
cammy,0,windless,4/18/1984,F,142 summer ridge place,0,fresno,CA,93709
cam,0,windless,4/18/1984,F,142 summer ridge place,0,fresno,CA,93709
cameron,0,windles,4/18/1984,F,142 summer ridge place,0,fresno,CA,93709
elenore,0,macdonnell,12/16/1950,F,549 pearson plaza,0,atlanta,GA,31106
elenor,0,mcdonnell,12/6/1950,F,549 pearson plaza,0,atlanta,GA,31106
elenora,0,macdonel,12/16/1950,F,549 pearson plaza,0,atlanta,GA,31106
janet,0,biasini,9/28/1949,F,9083 pennsylvania parkwy,0,raleigh,NC,27615
janet,0,bisini,9/28/1949,F,9083 pennsylvania parkwy,0,raleigh,NC,27615
darby,0,steinson,6/14/1991,M,1587 shopko parkwy apt 200,0,houston,TX,77035
darbie,0,steiinson,6/14/1991,M,1587 shopko parkwy,200,houston,TX,77035
maynard,0,skirvan,4/24/2007,M,485 hanson street e,0,phoenix,AZ,85010
maynard,0,skirvanne,4/14/2007,M,485 hanson st.,0,phoenix,AZ,85010
maynard,0,skiirvane,4/24/2007,M,485 hanson street east,0,phoenix,AZ,85010
maynard,0,skirvane,4/24/2007,F,485 hanson street,0,phoenix,AZ,85010
dante,0,willder,4/25/1990,M,0,0,flint,MI,48550
dante,0,wild,4/25/1990,M,0,0,flint,MI,48550
rena,0,hawkshaw,5/17/2000,F,637 ryan crossing,0,pinellas park,FL,34665
annetta,0,delamere,9/27/2000,F,8178 talisman center,0,mesa,AZ,85205
anne,0,delamere,9/27/2000,F,8178 talismen center,0,mesa,AZ,85205
annette,0,delamere,9/27/2000,F,8178 talisman center e,0,mesa,AZ,85205
annette,0,delmar,9/27/2000,F,9154 city view street,0,mesa,AZ,85205
robers,0,gammade,10/12/1945,M,030 golf hill,0,charlotte,NC,28210
robert,0,gammade,10/12/1945,M,30 golf hill,0,charlott,NC,28210
robers,0,gamade,10/12/1945,M,030 golf hill,0,charlotte,NC,28210
robers,0,gammade,10/12/1945,M,030 golf hill,0,charlotte,NC,28210
tobin,0,rutigliano,1/1/1970,M,82305 washington drive,0,phoenix,AZ,85083
toby,0,rutigliano,1/1/1970,M,82305 washington drive,0,phoenix,AZ,85083
damon,0,steer,6/21/2003,M,05 eagan hill,0,myrtle beach,SC,29579
damon,J,steer,5/21/2003,M,0,0,0,0,0
damon,J,steer,5/21/2003,M,05 eagan hill,1098,myrtle beach,SC,29579
damion,0,steer,5/21/2003,M,05 eagan hill,1098,myrtle beach,SC,29579
francois,L,mandifield,2/9/2007,M,78169 8th lane,0,madison,WI,53726
franc,0,mandifield,2/9/2007,F,78169 8th lane,0,madison,WI,53726
francois,L,mandifield,2/8/2007,M,78169 8th ln,0,madison,WI,53726
francois,L,mandifield,2/9/2007,M,78169 8th lane,0,madison,WI,53726
francois,0,mandfield,2/9/2007,M,78169 8th lane,0,madison,WI,53726
dracke,0,coslett,1/17/1973,M,49727 caliangt alley,0,boston,MA,2163
drake,J,coslett,1/16/1973,M,49727 caliangt alley,4,boston,MA,2163
drake,0,coslett,1/16/1973,F,49727 caliangt alley,0,boston,MA,2163
drake,J,coslett,1/16/1973,M,49727 caliangt alley,4,boston,MA,2163
